,Unnamed: 0,거주유형,거래방식,거주유형.1,시세,스펙,위치,lat,lon
11,11,디아뜨센트럴 1동,월세,오피스텔,"1,000/67","49A/25m², 고/15층, 서향",원효로1가,37.5398,126.9673
12,12,채원 1동,월세,오피스텔,"1,000/85","44D/22m², 고/18층, 남서향",원효로1가,37.5398,126.9673
13,13,일반원룸,월세,원룸,"2,000/60","41/41m², 3/5층, 북서향",원효로1가,37.5398,126.9673
14,14,디아뜨센트럴 1동,월세,오피스텔,"1,000/75","73/37m², 고/15층, 남서향",원효로1가,37.5398,126.9673
15,15,일반원룸,월세,원룸,"1,000/50","23/23m², 1/4층, 서향",원효로1가,37.5398,126.9673
16,16,일반원룸,월세,원룸,"1,000/50","31/31m², 1/4층, 서향",원효로1가,37.5398,126.9673
17,17,일반원룸,월세,원룸,"1,000/45","17/17m², 저/3층, 서향",원효로1가,37.5398,126.9673
0,0,빌라 덕수빌라,월세,빌라,"3,000/70","54/41m², 2/4층, 남향",청파동2가,37.5462,126.9667
1,1,일반원룸,월세,원룸,"1,000/50","22/20m², 1/2층, 북동향",청파동2가,37.5462,126.9667
2,2,일반원룸,월세,원룸,300/40,"16/16m², 1/1층, 남향",청파동2가,37.5462,126.9667
3,3,다가구,월세,단독/다가구,"1,000/55","18/18m², 3/3층, 남향",청파동2가,37.5462,126.9667
4,4,일반원룸,월세,원룸,500/35,"21/21m², B1/3층, 북향",청파동2가,37.5462,126.9667
5,5,일반원룸,월세,원룸,"2,000/15","30/30m², B1/4층, 북향",청파동2가,37.5462,126.9667
6,6,빌라,월세,빌라,500/40,"24/16m², 3/3층, 동향",청파동2가,37.5462,126.9667
7,7,일반원룸,월세,원룸,"1,000/50","22/20m², 1/2층, 북동향",청파동2가,37.5462,126.9667
8,8,일반원룸,월세,원룸,"1,000/50","23/23m², 1/3층, 북동향",청파동2가,37.5462,126.9667
9,9,기타,월세,빌라,300/20,"18/18m², B1/3층, 남동향",청파동2가,37.5462,126.9667
10,10,일반원룸,월세,원룸,"1,000/60","25/18m², 3/4층, 동향",청파동2가,37.5462,126.9667
11,11,기타,월세,원룸,"1,000/40","32/16m², 1/4층, 남서향",청파동2가,37.5462,126.9667
0,0,일반원룸,월세,원룸,"1,000/60","35/26m², 2/7층, 북동향",한강로1가,37.5362,126.973488
