,단지명,거주형태,상세주소,면적,평명,기준날짜,보증금,월세,위도,경도
52,용산KCC웰츠타워,오피스텔,11-10,76.56,76D9,0,0,0,37.536827322155126,126.9727933400022
53,용산KCC웰츠타워,오피스텔,11-10,76.94,76D25,0,0,0,37.536827322155126,126.9727933400022
54,용산KCC웰츠타워,오피스텔,11-10,77.17,77H2,0,0,0,37.536827322155126,126.9727933400022
55,용산KCC웰츠타워,오피스텔,11-10,79.41,79C2,0,0,0,37.536827322155126,126.9727933400022
56,용산KCC웰츠타워,오피스텔,11-10,79.46,79D7,0,0,0,37.536827322155126,126.9727933400022
57,용산KCC웰츠타워,오피스텔,11-10,81.06,81D4,0,0,0,37.536827322155126,126.9727933400022
58,용산KCC웰츠타워,오피스텔,11-10,83.21,83D11,0,0,0,37.536827322155126,126.9727933400022
59,용산KCC웰츠타워,오피스텔,11-10,83.44,83D21,0,0,0,37.536827322155126,126.9727933400022
60,용산KCC웰츠타워,오피스텔,11-10,85.8,85D14,0,0,0,37.536827322155126,126.9727933400022
61,용산KCC웰츠타워,오피스텔,11-10,87.38,87L1,0,0,0,37.536827322155126,126.9727933400022
62,용산KCC웰츠타워,오피스텔,11-10,86.82,86F1,0,0,0,37.536827322155126,126.9727933400022
63,용산KCC웰츠타워,오피스텔,11-10,86.82,86F4,0,0,0,37.536827322155126,126.9727933400022
64,용산KCC웰츠타워,오피스텔,11-10,86.43,86D20,0,0,0,37.536827322155126,126.9727933400022
65,용산KCC웰츠타워,오피스텔,11-10,86.66,86D23,0,0,0,37.536827322155126,126.9727933400022
66,용산KCC웰츠타워,오피스텔,11-10,88.83,88F3,0,0,0,37.536827322155126,126.9727933400022
67,용산KCC웰츠타워,오피스텔,11-10,88.9,88D12,0,0,0,37.536827322155126,126.9727933400022
68,용산KCC웰츠타워,오피스텔,11-10,89.04,89N1,0,0,0,37.536827322155126,126.9727933400022
69,용산KCC웰츠타워,오피스텔,11-10,90.81,90K1,0,0,0,37.536827322155126,126.9727933400022
70,용산KCC웰츠타워,오피스텔,11-10,89.71,89F2,0,0,0,37.536827322155126,126.9727933400022
71,용산KCC웰츠타워,오피스텔,11-10,89.67,89G1,0,0,0,37.536827322155126,126.9727933400022
72,용산KCC웰츠타워,오피스텔,11-10,92.54,92G3,0,0,0,37.536827322155126,126.9727933400022
73,용산KCC웰츠타워,오피스텔,11-10,95.31,95B1,0,0,0,37.536827322155126,126.9727933400022
74,용산KCC웰츠타워,오피스텔,11-10,97.78,97G2,0,0,0,37.536827322155126,126.9727933400022
75,용산KCC웰츠타워,오피스텔,11-10,98.81,98M1,0,0,0,37.536827322155126,126.9727933400022
76,용산KCC웰츠타워,오피스텔,11-10,110.84,110B2,0,0,0,37.536827322155126,126.9727933400022
77,용산KCC웰츠타워,오피스텔,11-10,124.8,124E2,0,0,0,37.536827322155126,126.9727933400022
78,용산KCC웰츠타워,오피스텔,11-10,125.43,125E4,0,0,0,37.536827322155126,126.9727933400022
79,용산KCC웰츠타워,오피스텔,11-10,136.79,136E1,0,0,0,37.536827322155126,126.9727933400022
80,용산KCC웰츠타워,오피스텔,11-10,136.51,136E3,0,0,0,37.536827322155126,126.9727933400022
81,용산KCC웰츠타워,오피스텔,11-10,138.88,138O2,0,0,0,37.536827322155126,126.9727933400022
82,용산KCC웰츠타워,오피스텔,11-10,139.45,139O1,0,0,0,37.536827322155126,126.9727933400022
83,용산큐브,오피스텔,24-4,29.0,29,20220325,1000,70,37.537435667320544,126.96822411301726
84,신영지웰시티1차,오피스텔,3379,78.33,78C-2,20220325,1000,56,37.536827322155126,126.9727933400022
85,신영지웰시티1차,오피스텔,3379,78.16,78C-1,20220325,1000,56,37.536827322155126,126.9727933400022
86,신영지웰시티1차,오피스텔,3379,82.25,82A-2,0,0,0,37.536827322155126,126.9727933400022
87,신영지웰시티1차,오피스텔,3379,81.13,81A-1,0,0,0,37.536827322155126,126.9727933400022
